id,display_name,package_name,type,uri,summary,source_code
"c03a52e9-3643-4ac5-8734-8d29368e531f","WB_TREE_UPDATE_OBJECTLIST","SEU","FUGR/FF","/sap/bc/adt/functions/groups/sewb/fmodules/wb_tree_update_objectlist","",""
"SAPLMGMM_SCREEN_0993","SAPLMGMM_SCREEN_0993","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_2004","SAPLMGMM_SCREEN_2004","SAPLMGMM","SCREEN","","",""
"28c6639e-37ae-417c-8739-89a5fd836395","REUSE_ALV_HIERSEQ_LIST_DISPLAY","SLIS","FUGR/FF","/sap/bc/adt/functions/groups/salv/fmodules/reuse_alv_hierseq_list_display","",""
"539ba621-292a-4ba6-adca-be7c183b7dbd","VB_NEXT_BATCH_NUMBER","VB","FUGR/FF","/sap/bc/adt/functions/groups/v01z/fmodules/vb_next_batch_number","",""
"566bf04a-465e-4a3f-94a6-9427b8c706bf","FINSC_CURTYPE","FINS_ACDOC_CUST","TABL/DT","/sap/bc/adt/ddic/tables/finsc_curtype","",""
"60ff3cba-037f-4076-986a-fd47755052ea","IDA_TCK32","CKJ1","TABL/DS","/sap/bc/adt/ddic/structures/ida_tck32","",""
"8c804d0a-1b8f-401c-a048-bf321f0e9fc8","LMGMMF1H","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmf1h","",""
"SAPLMGMM_SCREEN_2020","SAPLMGMM_SCREEN_2020","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_2104","SAPLMGMM_SCREEN_2104","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_2110","SAPLMGMM_SCREEN_2110","SAPLMGMM","SCREEN","","",""
"33b8285f-a36e-4c82-925a-1e5f7b9cea17","T133D_ARRAY_READ","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mgds/fmodules/t133d_array_read","",""
"1df532b3-16b0-4b9e-95ce-51f9e4a5bdda","CONVERSION_EXIT_MATN1_INPUT","BMG","FUGR/FF","/sap/bc/adt/functions/groups/omcv/fmodules/conversion_exit_matn1_input","",""
"3b3be8fe-5598-4704-b547-d40fa36e0077","CHECK_ROUTING_PARAMETERS","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mg02/fmodules/check_routing_parameters","",""
"963ffb54-9ab4-4672-8df5-c9a3fe7d6fac","/CWM/EMSSQ_PQ","/CWM/S4_MM","TABL/DS","/sap/bc/adt/ddic/structures/%2fcwm%2femssq_pq","",""
