"abap_program_id","related_abap_program_id","relation_type"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","95144252-8b12-449a-8d85-453e51a1cdc7","Database Tables"
"d5d07381-7f75-4373-88df-12e3cd4426b2","ffa57290-343d-4f3f-b073-ba01a9f03566","Function Calls"
"d1e901de-4c29-47ec-95ee-ca17cc1cef16","638ccb51-fe2c-4678-b9a0-a79fb8840234","Includes"
"0a4db91d-8760-4e55-9fb9-4473959b118d","d10888ff-dd1b-43f3-ad79-40b4a0e297d5","Function Calls"
"35378e94-ed70-4b5d-8d33-a1d511e98e62","9ea966d1-035f-46b9-8310-77235c1d3e77","Database Tables"
"5e2f7861-4f4c-4670-bf16-f519242db462","4524c535-349b-4574-9f7a-e9723cec69b8","Database Tables"
"f7291635-2433-46ee-87b8-5a798061e42f","5324b079-3cc5-49b8-bb24-9714a00a6815","Database Tables"
"SAPLMGMM_SCREEN_5040","1e468bf9-a52c-43e1-b5cb-40623dd70baa","MODULE"
"94284435-4990-4e31-b336-7cf103f0bb09","aca52b00-6acb-4368-b653-bd2bce8267f9","Database Tables"
"f7291635-2433-46ee-87b8-5a798061e42f","48fc4ad3-8232-4724-b004-6b66140752f1","Database Tables"
"f684102f-7424-4969-acaf-35b8277f6a96","cedfd944-efc0-42be-985a-c18435aa75c1","Includes"
"c9b65b0c-24eb-40e3-aa61-dc9776b10878","bbffb03a-ae21-4da9-95dc-13830aecd235","Database Tables"
"SAPLMGMM_SCREEN_3003","c7c5ee81-3459-4c42-9a18-f39a9d4323e9","MODULE"
"73918eda-f25e-4eae-974e-f5b1fe80c0b1","b54bc276-7574-4390-9d6c-0e64364aa4da","Function Calls"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","0149275f-3407-461b-a997-106e8391b788","Includes"
"12352185-e664-4b05-af67-c98d09acddb1","bce4f4d5-19cc-490a-9b9a-bfee14f6b29f","Database Tables"
"f791c0f0-a5b2-415b-a020-583cb31971f8","5ce9dd2a-c14e-437b-b11a-813d2c9ae12e","Function Calls"
"SAPLMGMM_SCREEN_5000","c7c5ee81-3459-4c42-9a18-f39a9d4323e9","MODULE"
"ba9a236e-5970-45aa-ade0-8c9dbe110d9f","7e37bd24-df82-4a7b-81e4-862c160d89db","Database Tables"
"c7e95e0b-27a2-4964-b6f6-ad406f6cf530","a01f41e2-5b26-42f0-a37c-209cdf6500d3","Database Tables"
"SAPLMGMM_SCREEN_0080","a1312a64-46d4-4283-ae9e-dee4dded7436","MODULE"
"2c6a8caa-1020-4928-b0e0-cb824856af69","38a3afc6-91ae-4586-903b-6dd8287604ad","Database Tables"
"c1b0f268-622b-454a-8087-3409afcc6dfe","ca5b94f5-0e5a-48da-af66-355b14a08f77","Database Tables"
"fdbee1d9-946e-42e4-b599-e62440dc557b","e5099ca1-f003-4941-9ece-72fb84c8174b","Database Tables"
"35378e94-ed70-4b5d-8d33-a1d511e98e62","21818af4-d133-4dc5-87f9-06bdc04e26a7","Includes"
"0bd7d404-167f-4e8c-8f29-3574b4f954ff","38ffee3f-493f-4524-b7e8-6a4d97658380","Function Calls"
